,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
828,GREIDERER Lukas,GREIDERER L,Male,1993-07-08,,Austria,Austria,AUT,Nordic Combined,NCB,ABSAM,Austria,,../../../en/results/nordic-combined/athlete-profile-n1005617-lukas-greiderer.htm
829,GREMAUD Mathilde,GREMAUD M,Female,2000-02-08,FRIBOURG,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,LA BERRA,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1048392-mathilde-gremaud.htm
830,GRENIER Valerie,GRENIER V,Female,1996-10-30,"OTTAWA, ON",Canada,Canada,CAN,Alpine Skiing,ALP,"ST-ISIDORE, QC",Canada,,../../../en/results/alpine-skiing/athlete-profile-n1045540-valerie-grenier.htm
831,GRIGORENKO Mikhail,GRIGORENKO M,Male,1994-05-16,KHABAROVSK,Russian Federation,ROC,ROC,Ice Hockey,IHO,MOSCOW,Russian Federation,1.90/6'2'',../../../en/results/ice-hockey/athlete-profile-n1056461-mikhail-grigorenko.htm
832,GRILLET AUBERT Jade,GRILLET AUBERT J,Female,1997-11-22,EVIAN-LES-BAINS,France,France,FRA,Freestyle Skiing,FRS,MORZINE,France,,../../../en/results/freestyle-skiing/athlete-profile-n1035838-jade-grillet-aubert.htm
833,GRITSYUK Arseni,GRITSYUK A,Male,2001-03-15,KRASNOYARSK,Russian Federation,ROC,ROC,Ice Hockey,IHO,OMSK,Russian Federation,1.82/5'11'',../../../en/results/ice-hockey/athlete-profile-n1056398-arseni-gritsyuk.htm
834,GRMAN Mario,GRMAN M,Male,1997-04-11,TOPOLCANY,Slovakia,Slovakia,SVK,Ice Hockey,IHO,HAMMENLINA,Finland,1.85/6'0'',../../../en/results/ice-hockey/athlete-profile-n1044245-mario-grman.htm
835,GROENEWOUD Marijke,GROENEWOUD M,Female,1999-01-28,HALLUM,Netherlands,Netherlands,NED,Speed Skating,SSK,HALLUM,Netherlands,1.69/5'6'',../../../en/results/speed-skating/athlete-profile-n1055954-marijke-groenewoud.htm
836,GROND Valerio,GROND V,Male,2000-10-26,MONSTEIN,Switzerland,Switzerland,SUI,Cross-Country Skiing,CCS,DAVOS,Switzerland,,../../../en/results/cross-country-skiing/athlete-profile-n1048395-valerio-grond.htm
837,GRONDIN Eliot,GRONDIN E,Male,2001-04-19,"SAINT-ROMUALD, QC",Canada,Canada,CAN,Snowboard,SBD,"ST-MARIE DE BEAUCE, QC",Canada,,../../../en/results/snowboard/athlete-profile-n1045850-eliot-grondin.htm
838,GRONLUND Timo Juhani,GRONLUND TJ,Male,1987-07-03,KITEE,Finland,Bolivia,BOL,Cross-Country Skiing,CCS,KITEE,Finland,,../../../en/results/cross-country-skiing/athlete-profile-n1060102-timo-juhani-gronlund.htm
839,GROTHEER Christopher,GROTHEER C,Male,1992-07-31,WERNIGERODE,Germany,Germany,GER,Skeleton,SKN,OBERHOF,Germany,,../../../en/results/skeleton/athlete-profile-n1014508-christopher-grotheer.htm
